ts,open,close,high,low,total_turnover,volume
2005-01-04,994.77,982.79,994.77,980.66,4431976960.0,741286900.0
2005-01-05,981.58,992.56,997.32,979.88,4529207808.0,711910900.0
2005-01-06,993.33,983.17,993.79,980.33,3921015040.0,628802800.0
2005-01-07,983.05,983.96,995.71,979.81,4737468928.0,729869400.0
2005-01-10,983.76,993.88,993.96,979.79,3762931968.0,579169700.0
2005-01-11,994.19,997.14,999.55,991.09,3704076032.0,584907900.0
2005-01-12,996.65,996.75,996.98,989.26,3093298944.0,501452500.0
2005-01-13,996.08,996.88,999.47,992.7,3842172928.0,604406500.0
2005-01-14,996.62,988.31,1006.46,987.23,4162920960.0,729784200.0
2005-01-17,979.11,967.45,981.53,965.08,4249807104.0,728818800.0
2005-01-18,967.37,974.69,974.87,960.29,4117944064.0,731184700.0
2005-01-19,974.33,967.21,974.33,965.26,3427951104.0,633809000.0
2005-01-20,963.21,956.25,963.21,952.23,4399349760.0,772710600.0
2005-01-21,954.46,982.6,984.27,943.44,8152086016.0,1445006000.0
2005-01-24,1001.85,998.13,1001.85,986.24,8360160768.0,1435946100.0
2005-01-25,995.64,997.78,997.95,985.24,6157022208.0,986252900.0
2005-01-26,995.78,989.93,999.47,988.48,4719439872.0,766329000.0
2005-01-27,987.34,974.63,987.7,973.77,4094397952.0,694536500.0
2005-01-28,974.63,969.21,975.62,965.21,3280950016.0,574880700.0
2005-01-31,965.79,954.88,965.79,953.14,3863572992.0,678870600.0
2005-02-01,953.33,955.95,965.48,952.74,4275706112.0,743306600.0
2005-02-02,956.7,1006.91,1006.93,956.7,10202903552.0,1705733800.0
2005-02-03,1005.56,993.22,1014.19,992.16,10057310208.0,1697454000.0
2005-02-04,992.25,1016.86,1021.03,989.94,9549871104.0,1573621500.0
2005-02-16,1023.32,1023.58,1033.25,1018.49,7438168064.0,1213129300.0
2005-02-17,1024.43,1020.61,1024.43,1010.48,5513062912.0,896829700.0
2005-02-18,1020.12,1006.06,1021.2,1005.63,4817732096.0,813993900.0
