ts,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,7.1188,6.9582,7.1188,6.9363,3331551.0,411629.0,7.776,6.3595
2005-01-05,6.9363,6.9217,6.9436,6.8633,1774514.0,221284.0,7.6518,6.2646
2005-01-06,6.9217,6.9363,6.9509,6.8706,2605525.0,323974.0,7.6153,6.2281
2005-01-07,6.9217,6.8633,6.9436,6.8633,3346838.0,417618.0,7.6299,6.2427
2005-01-10,6.8633,6.8341,6.8633,6.5858,5472466.0,698023.0,7.5496,6.177
2005-01-11,6.8341,6.7392,6.8341,6.7246,1466744.0,186938.0,7.5204,6.1478
2005-01-12,6.7173,6.7684,6.8268,6.7173,921063.0,117377.0,7.4109,6.0674
2005-01-13,6.7684,6.7465,6.7684,6.7027,1554464.0,198978.0,7.4474,6.0893
2005-01-14,6.7173,6.7903,6.8268,6.7173,777842.0,98757.0,7.4182,6.0747
2005-01-17,6.7903,6.6442,6.7903,6.6223,2654060.0,342094.0,7.4693,6.1112
2005-01-18,6.6442,6.6807,6.7538,6.6442,2495733.0,320052.0,7.3087,5.9798
2005-01-19,6.5858,6.6588,6.7027,6.5858,704341.0,91124.0,7.3525,6.0163
2005-01-20,6.5931,6.6734,6.6807,6.5931,2195841.0,284157.0,7.3233,5.9944
2005-01-21,6.6296,6.7757,6.8195,6.5712,18267624.0,2332394.0,7.3379,6.009
2005-01-24,6.9947,6.9655,6.9947,6.7319,28542252.0,3599595.0,7.4547,6.0966
2005-01-25,6.8998,6.9217,6.9363,6.7903,2805417.0,350864.0,7.6591,6.2719
2005-01-26,6.8633,6.8998,6.9363,6.8268,1767023.0,220494.0,7.6153,6.2281
2005-01-27,6.8487,6.8706,6.8852,6.7903,4333862.0,545859.0,7.5934,6.2062
2005-01-28,6.8852,6.8414,6.8852,6.8268,958456.0,120601.0,7.5569,6.1843
2005-01-31,6.7611,6.8998,6.9582,6.7173,3138816.0,393771.0,7.5277,6.1551
2005-02-01,6.8633,7.0458,7.0969,6.8633,11245859.0,1377846.0,7.5934,6.2062
2005-02-02,7.0093,7.3014,7.3598,6.9363,16170268.0,1930562.0,7.7541,6.3449
2005-02-03,7.3014,7.1918,7.3014,7.1626,6327904.0,751178.0,8.0315,6.5712
2005-02-04,7.1772,7.2722,7.3014,7.1553,10808330.0,1283669.0,7.9147,6.4763
2005-02-16,7.3014,7.4036,7.4328,7.2284,27073057.0,3180405.0,8.0023,6.542
2005-02-17,7.4109,7.3744,7.4109,7.2868,11915320.0,1402306.0,8.141,6.6661
2005-02-18,7.3744,7.1188,7.3744,7.1115,13744109.0,1635793.0,8.1118,6.6369
2005-02-21,7.0969,7.1188,7.1918,7.0677,6352610.0,768794.0,7.8344,6.4106
2005-02-22,7.1553,7.2064,7.2137,7.075,21542300.0,2597680.0,7.8344,6.4106
2005-02-23,7.2211,7.148,7.2211,7.1188,8767913.0,1053709.0,7.9293,6.4836
2005-02-24,7.148,7.1261,7.148,6.9801,13907265.0,1698004.0,7.8636,6.4325
2005-02-25,7.1407,7.1699,7.2064,7.075,21834417.0,2623876.0,7.8417,6.4106
2005-02-28,7.1553,7.0093,7.1553,6.9801,10028840.0,1226352.0,7.8855,6.4544
2005-03-01,7.0093,6.9947,7.0677,6.9728,5643764.0,693191.0,7.7102,6.3084
2005-03-02,7.0093,6.9436,7.0677,6.9363,7589578.0,932697.0,7.6956,6.2938
2005-03-03,6.9363,7.0093,7.0239,6.9363,9712819.0,1198374.0,7.6372,6.25
2005-03-04,6.9801,7.0385,7.0677,6.9436,2981995.0,366022.0,7.7102,6.3084
2005-03-07,7.0385,7.0677,7.1115,7.0239,9900450.0,1207146.0,7.7394,6.3376
2005-03-08,7.1407,7.075,7.1407,7.0166,9757562.0,1188682.0,7.776,6.3595
2005-03-09,7.0896,7.0531,7.1407,7.0312,8508402.0,1036451.0,7.7833,6.3668
2005-03-10,7.0458,6.9217,7.0458,6.8633,17171772.0,2130586.0,7.7614,6.3449
2005-03-11,6.8706,6.9874,7.002,6.8633,32111775.0,3986992.0,7.6153,6.2281
2005-03-14,6.9874,6.8633,7.0093,6.8268,24964821.0,3101609.0,7.6883,6.2865
2005-03-15,6.8487,6.7027,6.8633,6.6661,17112208.0,2179906.0,7.5496,6.177
2005-03-16,6.71,6.7538,6.7538,6.5712,10604395.0,1372065.0,7.3744,6.0309
2005-03-17,6.7173,6.7319,6.8122,6.71,9544466.0,1212730.0,7.4328,6.082
2005-03-18,6.7319,6.6807,6.7319,6.6442,4564199.0,587983.0,7.4036,6.0601
2005-03-21,6.6442,6.6296,6.6881,6.5931,5878427.0,760668.0,7.3525,6.0163
2005-03-22,6.6296,6.7684,6.7757,6.6077,4494653.0,578754.0,7.2941,5.9652
2005-03-23,6.7611,6.7173,6.7757,6.6442,12637511.0,1620554.0,7.4474,6.0893
2005-03-24,6.7173,6.8414,6.856,6.6442,3746129.0,477487.0,7.389,6.0455
2005-03-25,6.8268,6.7903,6.8268,6.7684,1951086.0,247442.0,7.5277,6.1551
2005-03-28,6.7757,6.7027,6.7757,6.6077,8963109.0,1161244.0,7.4693,6.1112
2005-03-29,6.71,6.6734,6.71,6.6442,3389188.0,437681.0,7.3744,6.0309
2005-03-30,6.6515,6.5347,6.7027,6.5347,10397532.0,1360112.0,7.3379,6.009
2005-03-31,6.5347,6.5639,6.5712,6.4252,6751801.0,895432.0,7.1918,5.8849
2005-04-01,6.5347,6.6881,6.7173,6.4398,14498536.0,1907542.0,7.2211,5.9068
2005-04-04,6.6807,6.4763,6.6807,6.4471,5677256.0,751123.0,7.3598,6.0163
2005-04-05,6.4763,6.3522,6.5347,6.3157,10646290.0,1432333.0,7.1261,5.8265
2005-04-06,6.3522,6.3668,6.4033,6.2646,13537552.0,1839962.0,6.9874,5.717
2005-04-07,6.3595,6.4471,6.5712,6.3522,16359643.0,2178536.0,7.002,5.7316
2005-04-08,6.4471,6.4617,6.5493,6.3522,14474479.0,1932424.0,7.0896,5.8046
2005-04-11,6.469,6.6807,6.7611,6.469,32990385.0,4252034.0,7.1115,5.8192
2005-04-12,6.4836,6.6442,6.6734,6.469,16696247.0,2167640.0,7.3525,6.0163
