ts,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,1.8707,1.8926,1.902,1.8457,1427145.0,634756.0,2.0647,1.6893
2005-01-05,1.877,1.9364,1.9677,1.8519,5229841.0,2260814.0,2.0834,1.7049
2005-01-06,1.9082,1.9301,1.952,1.9082,1217965.0,525749.0,2.1303,1.7424
2005-01-07,1.9176,1.9677,1.9739,1.9145,2562648.0,1084982.0,2.1241,1.7362
2005-01-10,1.9677,1.9614,1.9677,1.9395,717232.0,305708.0,2.1648,1.7706
2005-01-11,1.9645,1.9583,1.9708,1.9333,1110528.0,471618.0,2.1585,1.7643
2005-01-12,1.9458,1.9614,1.9864,1.9239,1111139.0,473081.0,2.1554,1.7612
2005-01-13,1.9427,1.952,1.9583,1.9301,898030.0,384104.0,2.1585,1.7643
2005-01-14,1.952,1.9614,1.9771,1.9333,1252904.0,532399.0,2.146,1.7581
2005-01-17,1.9395,1.9427,2.0177,1.927,3895238.0,1646242.0,2.1585,1.7643
2005-01-18,1.9489,1.9333,1.9583,1.8863,3119699.0,1350389.0,2.1366,1.7487
2005-01-19,1.9239,1.902,1.9333,1.8989,953842.0,414987.0,2.1272,1.7393
2005-01-20,1.902,1.8644,1.902,1.8425,2068972.0,921211.0,2.0928,1.7112
2005-01-21,1.8457,1.9051,1.9364,1.8332,2369432.0,1046840.0,2.0521,1.6767
2005-01-24,1.9082,1.9395,1.9552,1.9082,1710155.0,737583.0,2.0959,1.7143
2005-01-25,1.9239,1.9301,1.9364,1.8926,843525.0,366814.0,2.1335,1.7456
2005-01-26,1.9301,1.9333,1.9864,1.9114,1636380.0,698782.0,2.1241,1.7362
2005-01-27,1.9301,1.9176,1.9427,1.902,1108549.0,481167.0,2.1272,1.7393
2005-01-28,1.9176,1.8863,1.9176,1.8707,545412.0,240531.0,2.1084,1.7268
2005-01-31,1.8707,1.8363,1.877,1.8238,1276099.0,574560.0,2.074,1.6986
2005-02-01,1.83,1.805,1.8551,1.7988,1188896.0,541310.0,2.0209,1.6517
2005-02-02,1.8144,1.9082,1.9145,1.8144,1698386.0,754975.0,1.9864,1.6236
2005-02-03,1.9239,1.8801,1.9239,1.8676,1386399.0,610473.0,2.0991,1.7174
2005-02-04,1.877,1.902,1.9082,1.8613,1832333.0,807177.0,2.0678,1.6924
2005-02-16,1.9239,1.8957,1.9333,1.8957,1088161.0,474012.0,2.0928,1.7112
2005-02-17,1.8895,1.9208,1.9239,1.8895,1132719.0,492470.0,2.0866,1.7049
2005-02-18,1.9208,1.8926,1.9239,1.877,1028054.0,449806.0,2.1116,1.7299
2005-02-21,1.8926,1.9208,1.9239,1.8863,1502826.0,655525.0,2.0834,1.7049
2005-02-22,1.9208,1.952,1.9552,1.9114,2617778.0,1124145.0,2.1116,1.7299
